KNN,Decision Tree,Random Forest
58.214,55.833,57.262
56.428999999999995,60.833000000000006,57.798
57.56,56.786,54.226
57.440000000000005,57.916999999999994,59.048
59.524,62.024,62.143
60.655,60.893,61.429
59.583,61.19,61.36899999999999
60.238,60.476,60.595
59.762,57.679,60.357000000000006
57.679,62.083,60.297999999999995
58.631,59.583,59.226
60.06,60.357000000000006,63.393
60.417,58.86900000000001,62.024
60.06,62.143,61.785999999999994
59.28600000000001,60.06,61.071
60.536,59.88099999999999,62.798
